WONO,SQKNO,WLSSQI,SEQNO,EDATE,APYM,EMPNO,EMPDP,RETAIL,COST,TYPE,HOURS,WARRCD,LPCODT,LSPRTT,LNCHGT,TAXCD,LAREA,RCDCD,LDATE,LTIME,WLSTAT,WLJBNO,WLIVNO,WLENUS,WLBTNO
W9DPA,22,7040647,34609466,20190605,201906,BAEHK,12,0,0,0,0.1,,,,,N,0,,20190605,131846,,,,BAEHK,
W5R6A,1,6916988,34609474,20190606,0,10302,,0,26.19,0,1,,,,,N,0,,20190606,150826,,,,BAEHK,
W8BWA,9912,7007885,34609475,20190606,201906,GOSPA,12,0,0,0,8,,,Y,,N,0,,20190606,152542,,,,GOSPA,
Y6CXA,9903,5284316,34609476,20190605,201906,GOSPA,12,0,0,0,8,,,Y,,N,0,,20190606,152558,,,,GOSPA,
W8BRA,9914,7007827,34609477,20190603,201906,GOSPA,12,0,0,0,6,,,Y,,N,0,,20190606,152628,,,,GOSPA,
W5R6A,1,6916988,34609479,20190606,0,10302,,0,26.19,0,1,,,,,N,0,,20190606,155814,,,,BAEHK,
W5R6A,1,6916988,34609480,20190606,0,10302,,0,26.19,0,1,,,,,N,0,,20190607,83230,,,,GOSPA,
W1B4A,4,6798251,34609481,20190607,0,GOSPA,,0,0,0,1,,,,,N,0,,20190607,83711,,,,GOSPA,
W1B4A,4,6798251,34609482,20190607,0,GOSPA,,0,0,1,1,,,,,N,0,,20190607,84143,,,,GOSPA,
W1B4A,4,6798251,34609483,20190607,0,GOSPA,,0,0,0,2,,,,,N,0,,20190607,84509,,,,GOSPA,
W1B4A,4,6798251,34609484,20190607,0,GOSPA,,0,0,0,2,,,,,N,0,,20190607,84629,,,,GOSPA,
W1B4A,1,6798202,34609487,20190602,201906,GOSPA,12,0,0,2,2,,,,,N,0,,20190607,130207,,,,,
ZWQYA,1,6690802,34609490,20190607,0,GOSPA,,0,0,2,2,,,,,N,0,,20190613,102412,,,,GOSPA,
ZWQYA,1,6690802,34609491,20190606,0,GOSPA,,0,0,2,2,,,,,N,0,,20190613,102506,,,,GOSPA,
ZWQYA,1,6690802,34609492,20190613,0,GOSPA,,0,0,0,1,,,,,N,0,,20190613,102927,,,,GOSPA,
ZWQYA,1,6690802,34609493,20190613,0,GOSPA,,0,0,2,2,,,,,N,0,,20190613,104032,,,,GOSPA,
ZWQYA,1,6690802,34609494,20190613,0,GOSPA,,0,0,0,1,,,,,N,0,,20190613,105220,,,,GOSPA,
ZWQYA,1,6690802,34609495,20190613,0,GOSPA,,0,0,0,1,,,,,N,0,,20190613,105627,,,,GOSPA,
ZWQYA,1,6690802,34609503,20190614,0,GOSPA,,0,0,0,2,,,,,N,0,,20190614,92613,,,,GOSPA,
W76JB,30,6967779,34609504,20190617,201812,10302,326,0,26.19,0,0.1,,,,,N,0,,20190617,94244,,,,POWCH,
W76JB,30,6967779,34609505,20190617,201812,10302,326,0,26.19,0,0.1,,,,,N,0,,20190617,101311,,,,POWCH,
ZWQYA,1,6690794,34609506,20190617,0,GOSPA,,0,0,0,1,,,,,N,0,,20190617,101512,,,,GOSPA,
W76JB,30,6967779,34609507,20190617,201812,10302,326,0,26.19,0,0.1,,,,,N,0,,20190617,101513,,,,POWCH,
ZWQYA,1,6690784,34609508,20190617,0,GOSPA,,0,0,2,1,,,,,N,0,,20190617,102039,,,,GOSPA,
ZWQYA,1,6690784,34609509,20190617,0,GOSPA,,0,0,1,0.5,,,,,N,0,,20190617,102452,,,,GOSPA,
W76JB,30,6967779,34609510,20190617,201812,10302,326,0,26.19,0,0.1,,,,,N,0,,20190617,102526,,,,POWCH,
ZWQYA,1,6690785,34609511,20190617,0,GOSPA,,0,0,3,0.5,,,,,N,0,,20190617,103005,,,,GOSPA,
W76JB,30,6967779,34609512,20190617,201812,10302,326,0,26.19,0,0.1,,,,,N,0,,20190617,103241,,,,POWCH,
W76JB,30,6967779,34609513,20190617,201812,10302,326,0,26.19,0,0.1,,,,,N,0,,20190617,103610,,,,POWCH,
W76JB,30,6967779,34609514,20190617,201812,10302,326,0,26.19,0,0.1,,,,,N,0,,20190617,104021,,,,POWCH,
ZY16A,9903,6717705,34609516,20190618,201906,CURCR,12,0,0,0,1,,,Y,,N,0,,20190618,90328,,,,CURCR,
ZWQYA,1,6690788,34609517,20190618,0,GOSPA,,0,0,1,1,,,,,N,0,,20190618,93852,,,,GOSPA,
ZWQYA,1,6690784,34609518,20190618,0,GOSPA,,0,0,0,1,,,,,N,0,,20190618,93853,,,,GOSPA,
W5R6A,1,6916997,34609519,20190618,0,GOSPA,,0,0,2,1,,,,,N,0,,20190618,93853,,,,GOSPA,
ZWQYA,1,6690784,34609520,20190618,0,GOSPA,,0,0,0,1,,,,,N,0,,20190618,95421,,,,GOSPA,
W5R6A,1,6916997,34609521,20190618,0,GOSPA,,0,0,2,1,,,,,N,0,,20190618,95421,,,,GOSPA,
ZWQYA,1,6690788,34609522,20190618,0,GOSPA,,0,0,1,1,,,,,N,0,,20190618,95422,,,,GOSPA,
W5R6A,1,6916997,34609523,20190618,0,GOSPA,,0,0,2,1,,,,,N,0,,20190618,95909,,,,GOSPA,
ZWQYA,1,6690784,34609524,20190618,0,GOSPA,,0,0,0,1,,,,,N,0,,20190618,95909,,,,GOSPA,
ZWQYA,1,6690788,34609525,20190618,0,GOSPA,,0,0,1,1,,,,,N,0,,20190618,95909,,,,GOSPA,
W5R6A,1,6916997,34609526,20190618,0,GOSPA,,0,0,2,1,,,,,N,0,,20190618,102622,,,,GOSPA,
ZWQYA,1,6690788,34609527,20190618,0,GOSPA,,0,0,1,1,,,,,N,0,,20190618,102622,,,,GOSPA,
ZWQYA,1,6690784,34609528,20190618,0,GOSPA,,0,0,0,1,,,,,N,0,,20190618,102622,,,,GOSPA,
W9DPA,2,7036825,34609529,20190619,0,GOSPA,,0,0,0,1,,,,,N,0,,20190618,104437,,,,GOSPA,
ZWQYA,1,6690789,34609530,20190619,0,GOSPA,,0,0,0,1,,,,,N,0,,20190618,104648,,,,GOSPA,
ZWQYA,1,6690784,34609531,20190619,0,GOSPA,,0,0,0,0.2,,,,,N,0,,20190618,104826,,,,GOSPA,
W5R6A,1,6916997,34609532,20190619,0,GOSPA,,0,0,0,0.2,,,,,N,0,,20190618,104826,,,,GOSPA,
ZWQYA,1,6690785,34609533,20190619,0,GOSPA,,0,0,0,0.2,,,,,N,0,,20190618,104826,,,,GOSPA,
ZWQYA,1,6690784,34609534,20190612,0,GOSPA,,0,0,0,1,,,,,N,0,,20190618,105017,,,,GOSPA,
